PROBLEM 3(A) OUTPUT: ORDERED_PAIR_LIST
'i' : 'c' : 'n'
0 : 0.47 : 0.00
1 : 3.86 : 0.74
2 : 10.07 : 3.23
3 : 13.66 : 4.66
4 : 6.53 : 1.81
5 : 9.14 : 2.86
6 : 1.75 : 0.00
7 : 13.87 : 4.75
8 : 2.43 : 0.17
9 : 2.51 : 0.20
10 : 12.86 : 4.34
11 : 6.23 : 1.69
12 : 3.18 : 0.47
13 : 0.15 : 0.00
14 : 3.72 : 0.69
15 : 6.40 : 1.76
16 : 10.50 : 3.40
17 : 14.38 : 4.95
18 : 0.27 : 0.00
19 : 13.05 : 4.42
20 : 7.78 : 2.31
21 : 13.55 : 4.62
22 : 6.27 : 1.71
23 : 4.53 : 1.01
24 : 13.22 : 4.49
25 : 3.02 : 0.41
26 : 2.10 : 0.04
27 : 4.58 : 1.03
28 : 2.25 : 0.10
29 : 3.01 : 0.40
30 : 8.43 : 2.57
31 : 4.56 : 1.02
32 : 14.71 : 5.09
33 : 12.50 : 4.20
34 : 13.18 : 4.47
35 : 2.55 : 0.22
36 : 3.07 : 0.43
37 : 6.19 : 1.68
38 : 9.13 : 2.85
39 : 4.00 : 0.80
40 : 3.03 : 0.41
41 : 4.39 : 0.95
42 : 2.21 : 0.08
43 : 3.34 : 0.54
44 : 3.51 : 0.60
45 : 6.07 : 1.63
46 : 3.35 : 0.54
47 : 2.76 : 0.30
48 : 4.45 : 0.98
49 : 0.23 : 0.00
