PROBLEM 3(B) OUTPUT: ORDERED_PAIR_LIST ADUSTED WITH ERROR TERM
'i' : 'c' : 'ne'
0 : 0.47 : -0.16
1 : 3.86 : -0.19
2 : 10.07 : 4.68
3 : 13.66 : 5.33
4 : 6.53 : 2.41
5 : 9.14 : 2.53
6 : 1.75 : -1.83
7 : 13.87 : 6.53
8 : 2.43 : 1.07
9 : 2.51 : 0.55
10 : 12.86 : 5.69
11 : 6.23 : 1.29
12 : 3.18 : 0.49
13 : 0.15 : 0.67
14 : 3.72 : 0.06
15 : 6.40 : 0.57
16 : 10.50 : 3.74
17 : 14.38 : 4.77
18 : 0.27 : 0.36
19 : 13.05 : 4.90
20 : 7.78 : 1.07
21 : 13.55 : 3.66
22 : 6.27 : 0.87
23 : 4.53 : 1.31
24 : 13.22 : 4.47
25 : 3.02 : 1.13
26 : 2.10 : -0.71
27 : 4.58 : 0.48
28 : 2.25 : -0.26
29 : 3.01 : -0.44
30 : 8.43 : 2.38
31 : 4.56 : 0.44
32 : 14.71 : 5.30
33 : 12.50 : 2.80
34 : 13.18 : 1.79
35 : 2.55 : 1.53
36 : 3.07 : 1.32
37 : 6.19 : 1.75
38 : 9.13 : 3.80
39 : 4.00 : 2.09
40 : 3.03 : 0.83
41 : 4.39 : 0.40
42 : 2.21 : 0.55
43 : 3.34 : 0.86
44 : 3.51 : 1.20
45 : 6.07 : 2.58
46 : 3.35 : 1.10
47 : 2.76 : 0.79
48 : 4.45 : 0.72
49 : 0.23 : 1.94
