PROBLEM 3(C) OUTPUT: WINNERS_LIST
'i' : 'c' : 'ne'
0 : 0.47 : -0.16
1 : 10.07 : 4.68
2 : 13.66 : 5.33
3 : 6.53 : 2.41
4 : 13.87 : 6.53
5 : 2.43 : 1.07
6 : 2.51 : 0.55
7 : 12.86 : 5.69
8 : 3.18 : 0.49
9 : 0.15 : 0.67
10 : 10.50 : 3.74
11 : 0.27 : 0.36
12 : 13.05 : 4.90
13 : 4.53 : 1.31
14 : 3.02 : 1.13
15 : 14.71 : 5.30
16 : 2.55 : 1.53
17 : 3.07 : 1.32
18 : 6.19 : 1.75
19 : 9.13 : 3.80
20 : 4.00 : 2.09
21 : 3.03 : 0.83
22 : 2.21 : 0.55
23 : 3.34 : 0.86
24 : 3.51 : 1.20
25 : 6.07 : 2.58
26 : 3.35 : 1.10
27 : 2.76 : 0.79
28 : 0.23 : 1.94

The winners dictionary has 29 items
