wage,educ
1.00,12
1.75,12
2.01,13
2.85,12
3.00,6
3.00,12
3.35,7
3.35,11
3.35,12
3.35,12
3.35,12
3.35,12
3.35,12
3.35,13
3.35,14
3.35,16
3.35,16
3.35,16
3.40,8
3.40,8
3.43,12
3.45,13
3.50,8
3.50,9
3.50,9
3.50,10
3.50,11
3.50,11
3.50,12
3.50,12
3.50,12
3.50,14
3.51,10
3.55,13
3.56,12
3.60,12
3.60,12
3.64,12
3.65,11
3.65,11
3.75,2
3.75,11
3.75,12
3.75,12
3.75,12
3.75,12
3.75,15
3.75,16
3.80,12
3.80,12
3.84,11
3.95,12
3.98,14
4.00,11
4.00,12
4.00,12
4.00,12
4.00,12
4.00,12
4.00,12
4.00,12
4.00,13
4.00,16
4.10,12
4.13,12
4.15,11
4.17,12
4.17,14
4.22,8
4.25,12
4.25,12
4.25,12
4.25,13
4.28,12
4.30,13
4.35,8
4.35,11
4.35,12
4.45,10
4.50,7
4.50,11
4.50,11
4.50,12
4.50,12
4.50,12
4.50,12
4.50,12
4.50,12
4.50,13
4.50,14
4.50,16
4.55,8
4.55,12
4.55,13
4.59,12
4.62,6
4.70,8
4.75,12
4.75,12
4.75,12
4.80,9
4.80,12
4.84,15
4.85,9
4.85,10
4.85,12
4.95,9
5.00,12
5.00,12
5.00,12
5.00,12
5.00,12
5.00,12
5.00,12
5.00,12
5.00,12
5.00,12
5.00,12
5.00,13
5.00,14
5.00,14
5.00,14
5.00,16
5.00,16
5.00,17
5.10,8
5.13,12
5.15,13
5.20,12
5.20,18
5.21,18
5.25,10
5.25,12
5.25,12
5.25,12
5.25,16
5.26,8
5.30,12
5.35,12
5.40,12
5.40,16
5.50,11
5.50,11
5.50,12
5.50,12
5.50,12
5.50,12
5.50,12
5.50,12
5.50,12
5.50,12
5.50,16
5.50,16
5.55,11
5.56,14
5.62,13
5.62,14
5.65,14
5.65,16
5.71,12
5.71,18
5.71,18
5.75,6
5.75,9
5.75,12
5.75,12
5.75,12
5.77,16
5.79,12
5.80,13
5.80,16
5.83,13
5.85,18
5.87,17
5.95,13
6.00,4
6.00,7
6.00,12
6.00,12
6.00,12
6.00,12
6.00,13
6.00,13
6.00,15
6.00,16
6.00,17
6.10,10
6.10,12
6.15,16
6.25,9
6.25,12
6.25,12
6.25,13
6.25,13
6.25,14
6.25,14
6.25,16
6.25,16
6.25,16
6.25,18
6.25,18
6.28,12
6.36,12
6.40,12
6.40,12
6.50,8
6.50,10
6.50,11
6.50,11
6.50,12
6.50,12
6.50,12
6.50,12
6.58,12
6.67,12
6.67,16
6.73,12
6.75,10
6.75,10
6.75,12
6.75,12
6.80,9
6.85,12
6.85,14
6.88,8
6.88,14
6.88,17
6.93,12
6.94,12
7.00,3
7.00,7
7.00,10
7.00,11
7.00,11
7.00,12
7.00,12
7.00,12
7.00,12
7.00,12
7.00,17
7.00,18
7.14,14
7.30,12
7.38,14
7.45,12
7.50,11
7.50,12
7.50,12
7.50,12
7.50,12
7.50,12
7.50,12
7.50,12
7.50,12
7.50,12
7.50,12
7.50,14
7.50,16
7.50,16
7.53,14
7.61,12
7.65,12
7.67,15
7.69,12
7.70,13
7.75,12
7.78,12
7.78,16
7.80,17
7.81,12
7.88,16
7.96,14
8.00,7
8.00,12
8.00,12
8.00,12
8.00,12
8.00,12
8.00,12
8.00,13
8.00,14
8.00,16
8.00,18
8.06,13
8.20,14
8.40,13
8.43,12
8.49,12
8.50,9
8.50,12
8.50,12
8.50,12
8.50,12
8.50,12
8.50,17
8.56,14
8.63,12
8.63,14
8.75,10
8.75,11
8.75,12
8.75,12
8.75,13
8.75,13
8.80,14
8.85,14
8.89,8
8.89,12
8.89,16
8.90,10
8.90,14
8.93,8
8.93,12
8.99,12
9.00,8
9.00,10
9.00,12
9.00,12
9.00,12
9.00,13
9.00,16
9.00,16
9.00,16
9.10,13
9.15,12
9.17,12
9.22,14
9.24,16
9.25,12
9.33,12
9.36,12
9.37,16
9.37,17
9.42,12
9.45,12
9.50,9
9.50,11
9.50,12
9.50,12
9.50,17
9.56,12
9.57,12
9.60,9
9.60,12
9.63,14
9.65,12
9.75,11
9.75,15
9.83,12
9.86,15
10.00,10
10.00,10
10.00,10
10.00,12
10.00,12
10.00,12
10.00,12
10.00,13
10.00,14
10.00,14
10.00,14
10.00,16
10.00,16
10.00,16
10.00,16
10.00,16
10.00,16
10.00,18
10.20,17
10.25,14
10.28,15
10.32,13
10.43,14
10.50,12
10.50,12
10.50,13
10.53,14
10.58,14
10.58,16
10.61,15
10.62,12
10.62,12
10.62,16
10.67,12
10.75,12
10.78,11
10.81,12
11.00,8
11.00,14
11.00,16
11.02,14
11.11,12
11.11,13
11.22,18
11.25,12
11.25,12
11.25,12
11.25,13
11.25,15
11.25,16
11.25,17
11.25,17
11.32,12
11.35,12
11.36,18
11.43,12
11.50,12
11.50,16
11.67,12
11.71,16
11.79,16
11.84,12
12.00,12
12.00,12
12.00,12
12.00,12
12.00,14
12.00,16
12.00,17
12.00,17
12.00,18
12.00,18
12.05,16
12.16,12
12.20,14
12.22,12
12.47,13
12.50,12
12.50,12
12.50,12
12.50,12
12.50,13
12.50,14
12.50,15
12.50,15
12.50,17
12.57,12
12.65,17
12.67,16
13.00,11
13.00,12
13.00,12
13.00,12
13.07,13
13.10,10
13.12,12
13.16,12
13.20,16
13.26,12
13.28,16
13.33,18
13.45,12
13.45,16
13.45,16
13.51,18
13.65,16
13.71,12
13.75,14
13.89,16
13.95,18
13.98,14
14.00,5
14.00,11
14.00,16
14.00,18
14.21,11
14.29,14
14.53,16
14.67,14
15.00,12
15.00,12
15.00,12
15.00,12
15.00,14
15.00,16
15.00,16
15.00,16
15.00,18
15.00,18
15.03,12
15.38,16
15.56,16
15.73,16
15.79,18
15.95,17
16.00,12
16.00,12
16.00,14
16.14,14
16.26,12
16.42,14
16.65,14
17.25,15
17.25,18
17.50,16
17.86,13
18.00,16
18.00,18
18.16,17
18.16,18
18.50,14
19.00,18
19.38,16
19.47,12
19.88,12
19.98,9
19.98,12
19.98,14
20.00,16
20.00,18
20.40,17
20.50,16
20.55,12
21.25,13
22.00,14
22.20,12
22.20,18
22.20,18
22.50,15
22.50,16
22.50,16
22.50,18
22.83,18
23.25,17
24.98,16
24.98,16
24.98,17
24.98,17
24.98,17
24.98,18
25.00,14
26.00,14
26.29,17
